race,driver,podium_finish_odds
Bahrain,Max Verstappen,1.16
Bahrain,Charles Leclerc,1.9
Bahrain,Sergio Perez,1.9
Bahrain,Carlos Sainz,3.0
Bahrain,George Russell,3.0
Bahrain,Lewis Hamilton,3.0
Bahrain,Lando Norris,3.75
Bahrain,Fernando Alonso,8.0
Bahrain,Oscar Piastri,13.0
Bahrain,Lance Stroll,41.0
Bahrain,Daniel Ricciardo,51.0
Bahrain,Yuki Tsunoda,51.0
Bahrain,Alex Albon,101.0
Bahrain,Esteban Ocon,101.0
Bahrain,Pierre Gasly,101.0
Bahrain,Kevin Magnussen,201.0
Bahrain,Logan Sargeant,201.0
Bahrain,Nico Hulkenberg,201.0
Bahrain,Valtteri Bottas,201.0
Bahrain,Zhou Guanyu,201.0
Saudi Arabia,Max Verstappen,1.15
Saudi Arabia,Sergio Perez,1.6
Saudi Arabia,Charles Leclerc,1.8
Saudi Arabia,Carlos Sainz,2.5
Saudi Arabia,Lando Norris,3.25
Saudi Arabia,Lewis Hamilton,3.75
Saudi Arabia,George Russell,5.5
Saudi Arabia,Oscar Piastri,7.0
Saudi Arabia,Fernando Alonso,11.0
Saudi Arabia,Lance Stroll,41.0
Saudi Arabia,Daniel Ricciardo,51.0
Saudi Arabia,Yuki Tsunoda,67.0
Saudi Arabia,Alex Albon,151.0
Saudi Arabia,Esteban Ocon,151.0
Saudi Arabia,Kevin Magnussen,151.0
Saudi Arabia,Logan Sargeant,151.0
Saudi Arabia,Nico Hulkenberg,151.0
Saudi Arabia,Pierre Gasly,151.0
Saudi Arabia,Valtteri Bottas,151.0
Saudi Arabia,Zhou Guanyu,151.0
Australia,Max Verstappen,1.1
Australia,Sergio Perez,1.3
Australia,Charles Leclerc,1.8
Australia,Carlos Sainz,3.0
Australia,Lewis Hamilton,4.0
Australia,George Russell,4.5
Australia,Fernando Alonso,6.0
Australia,Lando Norris,6.0
Australia,Oscar Piastri,8.0
Australia,Lance Stroll,51.0
Australia,Alex Albon,101.0
Australia,Daniel Ricciardo,101.0
Australia,Esteban Ocon,101.0
Australia,Kevin Magnussen,101.0
Australia,Nico Hulkenberg,101.0
Australia,Pierre Gasly,101.0
Australia,Yuki Tsunoda,101.0
Australia,Logan Sargeant,251.0
Australia,Valtteri Bottas,251.0
Australia,Zhou Guanyu,251.0
Japan,Max Verstappen,1.1
Japan,Sergio Perez,1.65
Japan,Carlos Sainz,1.9
Japan,Charles Leclerc,1.9
Japan,Lando Norris,3.25
Japan,Oscar Piastri,5.0
Japan,George Russell,8.0
Japan,Lewis Hamilton,8.0
Japan,Fernando Alonso,17.0
Japan,Lance Stroll,51.0
Japan,Alex Albon,101.0
Japan,Daniel Ricciardo,101.0
Japan,Esteban Ocon,101.0
Japan,Kevin Magnussen,101.0
Japan,Logan Sargeant,101.0
Japan,Nico Hulkenberg,101.0
Japan,Pierre Gasly,101.0
Japan,Valtteri Bottas,101.0
Japan,Yuki Tsunoda,101.0
Japan,Zhou Guanyu,101.0
China,Max Verstappen,1.15
China,Sergio Perez,13.0
China,Carlos Sainz,15.0
China,Charles Leclerc,15.0
China,Fernando Alonso,41.0
China,George Russell,41.0
China,Lando Norris,41.0
China,Lewis Hamilton,41.0
China,Oscar Piastri,151.0
China,Alex Albon,601.0
China,Daniel Ricciardo,601.0
China,Esteban Ocon,601.0
China,Kevin Magnussen,601.0
China,Lance Stroll,601.0
China,Logan Sargeant,601.0
China,Nico Hulkenberg,601.0
China,Pierre Gasly,601.0
China,Valtteri Bottas,601.0
China,Yuki Tsunoda,601.0
China,Zhou Guanyu,601.0
Miami,Max Verstappen,1.15
Miami,Sergio Perez,13.0
Miami,Carlos Sainz,21.0
Miami,Charles Leclerc,21.0
Miami,Lando Norris,21.0
Miami,George Russell,51.0
Miami,Lewis Hamilton,51.0
Miami,Nico Hulkenberg,51.0
Miami,Oscar Piastri,51.0
Miami,Fernando Alonso,67.0
Miami,Lance Stroll,251.0
Miami,Alex Albon,601.0
Miami,Daniel Ricciardo,601.0
Miami,Esteban Ocon,601.0
Miami,Kevin Magnussen,601.0
Miami,Logan Sargeant,601.0
Miami,Pierre Gasly,601.0
Miami,Valtteri Bottas,601.0
Miami,Yuki Tsunoda,601.0
Miami,Zhou Guanyu,601.0
Imola,Max Verstappen,1.1
Imola,Lando Norris,1.5
Imola,Charles Leclerc,1.8
Imola,Sergio Perez,1.8
Imola,Carlos Sainz,3.4
Imola,Oscar Piastri,5.0
Imola,Fernando Alonso,11.0
Imola,George Russell,11.0
Imola,Lewis Hamilton,11.0
Imola,Lance Stroll,101.0
Imola,Daniel Ricciardo,151.0
Imola,Nico Hulkenberg,151.0
Imola,Yuki Tsunoda,151.0
Imola,Alex Albon,301.0
Imola,Esteban Ocon,301.0
Imola,Kevin Magnussen,301.0
Imola,Pierre Gasly,301.0
Imola,Logan Sargeant,501.0
Imola,Valtteri Bottas,501.0
Imola,Zhou Guanyu,501.0
Monaco,Max Verstappen,1.2
Monaco,Charles Leclerc,1.6
Monaco,Lando Norris,1.6
Monaco,Oscar Piastri,2.4
Monaco,Sergio Perez,2.4
Monaco,Carlos Sainz,2.75
Monaco,Fernando Alonso,17.0
Monaco,George Russell,19.0
Monaco,Lewis Hamilton,19.0
Monaco,Lance Stroll,67.0
Monaco,Daniel Ricciardo,201.0
Monaco,Esteban Ocon,201.0
Monaco,Pierre Gasly,201.0
Monaco,Yuki Tsunoda,201.0
Monaco,Alex Albon,301.0
Monaco,Kevin Magnussen,301.0
Monaco,Logan Sargeant,301.0
Monaco,Nico Hulkenberg,301.0
Monaco,Valtteri Bottas,301.0
Monaco,Zhou Guanyu,301.0
Canada,Max Verstappen,1.4
Canada,Charles Leclerc,6.0
Canada,Lando Norris,7.0
Canada,Oscar Piastri,21.0
Canada,Carlos Sainz,26.0
Canada,Sergio Perez,26.0
Canada,George Russell,67.0
Canada,Lewis Hamilton,67.0
Canada,Daniel Ricciardo,301.0
Canada,Fernando Alonso,301.0
Canada,Yuki Tsunoda,301.0
Canada,Alex Albon,601.0
Canada,Esteban Ocon,601.0
Canada,Kevin Magnussen,601.0
Canada,Lance Stroll,601.0
Canada,Logan Sargeant,601.0
Canada,Nico Hulkenberg,601.0
Canada,Pierre Gasly,601.0
Canada,Valtteri Bottas,601.0
Canada,Zhou Guanyu,601.0
Spain,Max Verstappen,1.15
Spain,Lando Norris,1.5
Spain,Charles Leclerc,1.6
Spain,Carlos Sainz,3.25
Spain,Sergio Perez,3.5
Spain,Oscar Piastri,4.35
Spain,George Russell,4.5
Spain,Lewis Hamilton,4.5
Spain,Fernando Alonso,26.0
Spain,Lance Stroll,67.0
Spain,Alex Albon,101.0
Spain,Daniel Ricciardo,101.0
Spain,Yuki Tsunoda,101.0
Spain,Esteban Ocon,151.0
Spain,Kevin Magnussen,151.0
Spain,Nico Hulkenberg,151.0
Spain,Pierre Gasly,151.0
Spain,Logan Sargeant,251.0
Spain,Valtteri Bottas,251.0
Spain,Zhou Guanyu,251.0
Austria,Max Verstappen,1.14
Austria,Lando Norris,1.3
Austria,Charles Leclerc,2.1
Austria,George Russell,3.4
Austria,Lewis Hamilton,3.4
Austria,Carlos Sainz,4.0
Austria,Oscar Piastri,4.0
Austria,Sergio Perez,4.3
Austria,Fernando Alonso,41.0
Austria,Esteban Ocon,67.0
Austria,Pierre Gasly,67.0
Austria,Lance Stroll,101.0
Austria,Nico Hulkenberg,101.0
Austria,Daniel Ricciardo,126.0
Austria,Yuki Tsunoda,151.0
Austria,Alex Albon,251.0
Austria,Kevin Magnussen,251.0
Austria,Logan Sargeant,301.0
Austria,Valtteri Bottas,301.0
Austria,Zhou Guanyu,301.0
Silverstone,Max Verstappen,1.1
Silverstone,Lando Norris,1.2
Silverstone,Oscar Piastri,2.15
Silverstone,George Russell,2.6
Silverstone,Lewis Hamilton,2.7
Silverstone,Charles Leclerc,4.5
Silverstone,Carlos Sainz,6.0
Silverstone,Sergio Perez,7.0
Silverstone,Nico Hulkenberg,67.0
Silverstone,Kevin Magnussen,126.0
Silverstone,Fernando Alonso,201.0
Silverstone,Lance Stroll,201.0
Silverstone,Alex Albon,301.0
Silverstone,Daniel Ricciardo,301.0
Silverstone,Esteban Ocon,301.0
Silverstone,Logan Sargeant,301.0
Silverstone,Pierre Gasly,301.0
Silverstone,Valtteri Bottas,301.0
Silverstone,Yuki Tsunoda,301.0
Silverstone,Zhou Guanyu,301.0
Hungary,Max Verstappen,1.33
Hungary,Lando Norris,1.65
Hungary,George Russell,1.9
Hungary,Lewis Hamilton,1.9
Hungary,Oscar Piastri,2.5
Hungary,Charles Leclerc,3.75
Hungary,Carlos Sainz,4.5
Hungary,Sergio Perez,13.0
Hungary,Fernando Alonso,51.0
Hungary,Alex Albon,67.0
Hungary,Esteban Ocon,67.0
Hungary,Nico Hulkenberg,67.0
Hungary,Pierre Gasly,67.0
Hungary,Daniel Ricciardo,101.0
Hungary,Lance Stroll,101.0
Hungary,Yuki Tsunoda,101.0
Hungary,Kevin Magnussen,251.0
Hungary,Logan Sargeant,251.0
Hungary,Valtteri Bottas,251.0
Hungary,Zhou Guanyu,251.0
Belgium,Lando Norris,1.25
Belgium,Oscar Piastri,1.4
Belgium,Max Verstappen,1.5
Belgium,George Russell,2.1
Belgium,Lewis Hamilton,2.65
Belgium,Charles Leclerc,5.5
Belgium,Carlos Sainz,8.0
Belgium,Sergio Perez,8.0
Belgium,Fernando Alonso,67.0
Belgium,Nico Hulkenberg,67.0
Belgium,Lance Stroll,101.0
Belgium,Alex Albon,151.0
Belgium,Kevin Magnussen,151.0
Belgium,Daniel Ricciardo,201.0
Belgium,Yuki Tsunoda,201.0
Belgium,Esteban Ocon,251.0
Belgium,Logan Sargeant,251.0
Belgium,Pierre Gasly,251.0
Belgium,Valtteri Bottas,251.0
Belgium,Zhou Guanyu,251.0
