race,driver,podium_finish_odds
Austria,Charles Leclerc,3.4
Austria,George Russell,3.75
Austria,Carlos Sainz,5
Austria,Esteban Ocon,17
Austria,Lance Stroll,17
Austria,Pierre Gasly,26
Austria,Lando Norris,51
Austria,Alex Albon,101
Austria,Oscar Piastri,126
Austria,Kevin Magnussen,151
Austria,Logan Sargeant,151
Austria,Nico Hulkenberg,151
Austria,Nyck de Vries,151
Austria,Valtteri Bottas,151
Austria,Yuki Tsunoda,151
Austria,Zhou Guanyu,151
Silverstone,Max Verstappen,1.22
Silverstone,Sergio Perez,1.57
Silverstone,Lewis Hamilton,2
Silverstone,Charles Leclerc,2.25
Silverstone,Fernando Alonso,2.35
Silverstone,Carlos Sainz,4.3
Silverstone,George Russell,4.3
Silverstone,Lando Norris,9
Silverstone,Lance Stroll,26
Silverstone,Esteban Ocon,51
Silverstone,Oscar Piastri,51
Silverstone,Pierre Gasly,67
Silverstone,Alex Albon,101
Silverstone,Kevin Magnussen,101
Silverstone,Nico Hulkenberg,101
Silverstone,Valtteri Bottas,151
Silverstone,Zhou Guanyu,151
Silverstone,Yuki Tsunoda,201
Silverstone,Logan Sargeant,251
Silverstone,Nyck de Vries,251
Hungary,Max Verstappen,1.15
Hungary,Sergio Perez,1.8
Hungary,Fernando Alonso,1.9
Hungary,Lewis Hamilton,2.2
Hungary,Lando Norris,3.5
Hungary,Charles Leclerc,3.75
Hungary,Carlos Sainz,4.5
Hungary,George Russell,5
Hungary,Oscar Piastri,17
Hungary,Esteban Ocon,51
Hungary,Lance Stroll,51
Hungary,Pierre Gasly,51
Hungary,Daniel Ricciardo,67
Hungary,Alex Albon,101
Hungary,Yuki Tsunoda,151
Hungary,Kevin Magnussen,201
Hungary,Nico Hulkenberg,201
Hungary,Logan Sargeant,251
Hungary,Valtteri Bottas,251
Hungary,Zhou Guanyu,251
Belgium,Max Verstappen,1.15
Belgium,Sergio Perez,1.65
Belgium,Lando Norris,1.7
Belgium,Lewis Hamilton,2.45
Belgium,George Russell,3.75
Belgium,Oscar Piastri,4
Belgium,Fernando Alonso,5.5
Belgium,Charles Leclerc,6
Belgium,Carlos Sainz,7
Belgium,Alex Albon,10
Belgium,Lance Stroll,67
Belgium,Esteban Ocon,101
Belgium,Pierre Gasly,101
Belgium,Daniel Ricciardo,151
Belgium,Yuki Tsunoda,151
Belgium,Kevin Magnussen,251
Belgium,Logan Sargeant,251
Belgium,Nico Hulkenberg,251
Belgium,Valtteri Bottas,251
Belgium,Zhou Guanyu,251
Zandvoort,Max Verstappen,1.07
Zandvoort,Sergio Perez,1.5
Zandvoort,Lando Norris,2.2
Zandvoort,Lewis Hamilton,2.2
Zandvoort,Charles Leclerc,3.25
Zandvoort,Oscar Piastri,4.5
Zandvoort,Carlos Sainz,7
Zandvoort,Fernando Alonso,7
Zandvoort,George Russell,7
Zandvoort,Lance Stroll,51
Zandvoort,Alex Albon,101
Zandvoort,Esteban Ocon,101
Zandvoort,Pierre Gasly,101
Zandvoort,Valtteri Bottas,151
Zandvoort,Zhou Guanyu,151
Zandvoort,Daniel Ricciardo,251
Zandvoort,Kevin Magnussen,251
Zandvoort,Logan Sargeant,251
Zandvoort,Nico Hulkenberg,251
Zandvoort,Yuki Tsunoda,251
Monza,Max Verstappen,1.1
Monza,Sergio Perez,1.6
Monza,Lando Norris,2.5
Monza,Fernando Alonso,2.75
Monza,Lewis Hamilton,2.75
Monza,Charles Leclerc,5
Monza,George Russell,5
Monza,Carlos Sainz,7
Monza,Oscar Piastri,7
Monza,Alex Albon,17
Monza,Esteban Ocon,67
Monza,Lance Stroll,67
Monza,Logan Sargeant,67
Monza,Pierre Gasly,67
Monza,Kevin Magnussen,201
Monza,Liam Lawson,201
Monza,Nico Hulkenberg,201
Monza,Valtteri Bottas,201
Monza,Yuki Tsunoda,201
Monza,Zhou Guanyu,201
Singapore,Max Verstappen,1.1
Singapore,Sergio Perez,1.5
Singapore,Lewis Hamilton,2.6
Singapore,Fernando Alonso,3.2
Singapore,Lando Norris,3.2
Singapore,Charles Leclerc,4
Singapore,George Russell,4
Singapore,Carlos Sainz,5
Singapore,Oscar Piastri,5
Singapore,Lance Stroll,34
Singapore,Alex Albon,67
Singapore,Esteban Ocon,67
Singapore,Pierre Gasly,67
Singapore,Liam Lawson,151
Singapore,Logan Sargeant,151
